dataset,dropped,n_features,ranking_acc,class_acc,delta_ra,delta_ca
ShareGPT,(none — baseline),19,0.7628875,0.47583333333333333,0.0,0.0
ShareGPT,has_code_keyword,18,0.7181625,0.4625,-0.044725000000000015,-0.013333333333333308
ShareGPT,prompt_token_len,18,0.72715,0.46,-0.03573750000000009,-0.01583333333333331
ShareGPT,instruction_verb (all verb_*),6,0.727675,0.44416666666666665,-0.03521250000000009,-0.031666666666666676
ShareGPT,ends_with_question,18,0.74043125,0.4533333333333333,-0.022456250000000066,-0.02250000000000002
ShareGPT,has_length_constraint,18,0.75735,0.4766666666666667,-0.005537500000000084,0.0008333333333333526
ShareGPT,has_format_keyword,18,0.7628375,0.4716666666666667,-5.0000000000105516e-05,-0.004166666666666652
ShareGPT,clause_count,18,0.76796875,0.49833333333333335,0.005081249999999926,0.02250000000000002
LMSYS,(none — baseline),19,0.9561875,0.6683333333333333,0.0,0.0
LMSYS,instruction_verb (all verb_*),6,0.9057625,0.6075,-0.05042499999999994,-0.060833333333333295
LMSYS,prompt_token_len,18,0.93124375,0.6425,-0.02494374999999993,-0.025833333333333375
LMSYS,has_code_keyword,18,0.95076875,0.6625,-0.005418749999999917,-0.005833333333333357
LMSYS,clause_count,18,0.9514375,0.6633333333333333,-0.004749999999999921,-0.0050000000000000044
LMSYS,ends_with_question,18,0.95316875,0.6716666666666666,-0.003018749999999959,0.0033333333333332993
LMSYS,has_length_constraint,18,0.95404375,0.6683333333333333,-0.00214375,0.0
LMSYS,has_format_keyword,18,0.9572625,0.6658333333333334,0.0010750000000000481,-0.0024999999999999467
OASST1,(none — baseline),19,0.6220779220779221,0.40963855421686746,0.0,0.0
OASST1,prompt_token_len,18,0.589935064935065,0.39759036144578314,-0.03214285714285714,-0.01204819277108432
OASST1,ends_with_question,18,0.6136363636363636,0.4036144578313253,-0.008441558441558472,-0.0060240963855421326
OASST1,has_length_constraint,18,0.6262987012987012,0.3795180722891566,0.004220779220779125,-0.03012048192771083
OASST1,has_code_keyword,18,0.6269480519480519,0.3614457831325301,0.004870129870129802,-0.04819277108433734
OASST1,has_format_keyword,18,0.6444805194805194,0.39156626506024095,0.022402597402597313,-0.01807228915662651
OASST1,clause_count,18,0.6538961038961039,0.42168674698795183,0.031818181818181746,0.012048192771084376
OASST1,instruction_verb (all verb_*),6,0.6542207792207793,0.42168674698795183,0.03214285714285714,0.012048192771084376
